uuid,model_name,response,timestamp
ef394b25d52d4321be335934d38699d8,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403595
7625a63dd3604f9e9e74ce5621e05396,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403646
cf9d9be15b7446e5afeebe40f36a659c,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403655
c6901559128e46549da5a7c11117ce1f,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403661
d906698ec0ac46978c6f375ea277ac6f,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403667
775011331a0b4beb88074f4cc2067d8c,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403672
b0b2366b70844cb58448e6f2166cadb7,meta-llama/Llama-3.1-8B-Instruct,No,2025-11-24T18:21:04.403677
4e36e5f4618c4695a686472d01809e89,meta-llama/Llama-3.1-8B-Instruct,No,2025-11-24T18:21:04.403682
5777bdffcbb144b6b4528eba7ee4017a,meta-llama/Llama-3.1-8B-Instruct,No,2025-11-24T18:21:04.403688
edd493bae0554755846826948c3c976d,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403693
c4c997c98d1b474f8645671af03c89b5,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403698
aac9efc6325041c8b0bf4775161e1d33,meta-llama/Llama-3.1-8B-Instruct,No,2025-11-24T18:21:04.403704
9074c127441a4ab6a4f31a81ac348bb5,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403709
f2bca58a45fd4fa2b85f0e92055d958e,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403714
177af53d8f4e45228548e13b86301527,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403719
1fda80a82c9e4a4492391e9d0d0c4017,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403725
a818b4839c1a438ca41470fd217020dd,meta-llama/Llama-3.1-8B-Instruct,Yes,2025-11-24T18:21:04.403730
